皮肤ID,皮肤名称,皮肤模型,贴图ID,头像,特效类型1[1=脚印，2=飞行，3=周身],特效1命名,特效类型2[1=脚印，2=飞行，3=周身],特效2命名,商店特效,购买天数1,钱类型1/1道具可用迷你币代替2只迷你币3只道具4迷你豆5道具可用迷你豆代替6仅激活码解锁,消耗道具ID1,价格1,购买天数2,钱类型2/1道具可用迷你币代替2只迷你币3只道具4迷你豆5道具可用迷你豆代替,消耗道具ID2,价格2,购买天数3,钱类型3/1道具可用迷你币代替2只迷你币3只道具4迷你豆5道具可用迷你豆代替,消耗道具ID3,价格3,皮肤描述,购买提示类型（1前往家园和取消 2只有确定）,购买提示,标签（1限时 2折扣 3特惠 4典藏）,限时开始,限时结束,开放渠道ID（-1全关，0全开）,音效,高度,宽度,厚度,受击高度,受击宽度,受击厚度,特别效果类型1（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果1图标,特别效果1描述,特别效果类型2（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果2图标,特别效果2描述,特别效果类型3（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果3图标,特别效果3描述,特别效果类型4（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果4图标,特别效果4描述,特别效果类型5（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果5图标,特别效果5描述,特别效果类型6（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果6图标,特别效果6描述,背景图,背景动画文件,背景动画文件,动态商城图标（已废弃，改为读SkinCostDef装扮服务器表）,变形类型[不填=不显示变形按钮，1=变身为坐骑（且优先显示装扮），2=变身为装扮2（且优先显示装扮1），3=变身为坐骑（且优先显示坐骑）],变形关联（填入坐骑、装扮ID）,小窗logo,小窗尺寸(正常不填为2.0),野人举起高度,AR动捕支持（1支持，空则不支持）,备注标准人形骨骼（1为支持，0为不支持）,换装ID,头像框：只能永久,"表情动作（100140,100108）",解锁道具,装扮图片,互动关联,"多重换装ID(index_skinid,index表示对应的第几条特性,skinid表示皮肤id,有多个变色效果时用逗号隔开)",多重换装前置id,切换顺序,是否显示（1=不显示）,语音范围（半径）,出场语音,间隔时间1,初次判断时间1,休闲语音,间隔时间2,初次判断时间2,死亡语音,间隔时间3,社交语音,间隔时间4,初次判断时间3,光照条件,幻化特效,幻化准备时间,功能说明(1:幻化),动作播放顺序,召唤ID,变身条件（1=水环境之外的环境，2=水环境）,变身特效,变身时间,天赋buff,跳转ID（全局跳转id_定制id）,左侧边栏背景色,可搭配部件类型,列表模型缩放比|y轴位移
140,秋果,140139,,275,3,140139_2,1,140139_3,140139_1,,,,,,,,,-1,2,,999,“来杯果汁吧！你瞧，并不是我在操纵季节，而是自然的力量选择了我。” #r不同于轰轰烈烈的冬夏，安静的秋果更喜欢下沉的大地能量，并有节制地使用它。这次旅行不仅是为了拯救家园，更是为了自己的能力与肩负的责任。,2,,,,,999,skin140,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着枫叶！,,,,,,,,,,,,,dtxx_beijingtu30,,0,,,,,,180,,,,,,27022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,小蓝,140148,,276,3,140148_2,1,140148_3,140148_1,,,,,,,,,-1,2,,999,小蓝是魔仙堡的守护魔仙，受魔仙女王的派遣，而来到人间。她以保姆的身份入住凌家，是凌美琪和凌美雪的魔法导师兼好朋友。,2,,,,,999,skin141,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下小黄花脚印。,,,,,,,,,,,,,dtxx_beijingtu33,,0,,,,icon_59,,180,,,,,,27023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,童梦仙踪,140152,,277,3,140151_2,1,140151_3,140151_1,,,,,,,,,-1,2,,999,梦歌换装皮肤,2,,,,,999,skin142,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着小兔兔！,,,,,,,,,,,,,dtxx_beijingtu29,,0,,,,,,180,,,"37,1",33025,100108,27024,Pskin142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,凌美琪,140153,,278,3,140153_2,1,140153_3,140153_1,,,,,,,,,-1,2,,999,美琪是凌家姐妹中的姐姐，人类世界的小魔仙。她正义、乐观，性格活泼善良，聪明开朗。有时爱取闹，爱想鬼主意，有绘画天赋，但行事冲动，无心向学。,2,,,,,999,skin143,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下小蓝花脚印。,,,,,,,,,,,,,dtxx_beijingtu33,,0,,,,icon_59,,180,,,,,,27025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,凌美雪,140154,,279,3,140154_2,1,140154_3,140154_1,,,,,,,,,-1,2,,999,美雪是凌家姐妹中的妹妹，人类世界的小魔仙。性格沉稳大方、聪明冷静，做事有条有理。喜爱学习和看书，学习成绩很好，善长分析事情。虽然是妹妹，但有时会反过来照顾姐姐美琪。,2,,,,,999,skin144,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下泡泡脚印。,,,,,,,,,,,,,dtxx_beijingtu33,,0,,,,icon_59,,180,,,,,,27026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,游乐王子,140155,,280,3,140155_2,1,140155_3,140155_1,,,,,,,,,-1,2,,999,游乐是魔仙堡的王子，留着一头蓝色头发，因误会魔仙女王而离开魔仙堡来到人间。虽然他表面上看起来很冷酷，实际上却是像大哥哥一样热情，很有正义感，也略微傲娇。,2,,,,,999,skin145,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着星光闪闪！,,,,,,,,,,,,,dtxx_beijingtu33,,0,,,,icon_59,,180,,,,,,27027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,璎落,140158,,281,3,140158_2,1,140158_3,140158_1,,,,,,,,,-1,2,,999,“樱花红陌上，杨柳绿池边；燕子声声里，相思又一年。”#r作为园艺世家的传承人，璎落精心养护着仁王星最壮观的花海。而每当花期结束，人潮散去，她总是轻抚一个画着闪电的植木钵喃喃自语：“如果你在，那就更好了。”,2,,,,,999,skin146,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着花瓣！,,,,,,,,,,,,,dtxx_beijingtu32,,0,,,,,,180,,,,,,27028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,雷光,140159,,282,3,140159_2,1,140159_3,140159_1,,,,,,,,,-1,2,,999,“你问云中有什么？风雨雷电思如雪。”#r雷光喜欢漫步云端的感觉。他总是用魔法悬浮于天际，俯瞰整个城市的人们在雨雪中穿行样子。这时，他会想起在仁王星的一次偶遇：那位百媚生娇的女孩，家乡的花海一定很美吧？,2,,,,,999,skin147,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下水滴脚印。,,,,,,,,,,,,,dtxx_beijingtu34,,0,,,,,,180,,,,,,27029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,凛冬,140160,,283,3,140160_2,1,140160_3,140160_1,,,,,,,,,-1,2,,999,“没有什么美能比得过这里的极光，除了你们。”#r孤独的星际旅者，为守护家园而身中虚空兽的诅咒。成为四季使者后，他愿将自己打造为星球的武器，为敌人带来与他温柔性格截然相反的，最肆虐的冰暴与最恐怖的气象灾害。,2,,,,,999,skin148,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下小宇宙脚印。,,,,,,,,,,,,,dtxx_beijingtu31,,0,,,,,,180,,,,,,27030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,珍奇女孩,140156,,284,3,140156_2,1,140156_3,140156_1,,,,,,,,,-1,2,,999,她是小马谷的颜值巅峰，美丽优雅、自信且充满魅力，是一位天才时装设计师，拥有自己的时装店。她喜欢看到小马们穿上自己设计制作的服装，有一只名叫欧泊的宠物猫咪。,2,,,,,999,skin149,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上散发着小钻石！,,,,,,,,,,,,,dtxx_beijingtu12,,0,giflogo_70,,,icon_54,,180,,,,,,27031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,苹果嘉儿女孩,140157,,285,3,140157_2,1,140157_3,140157_1,,,,,,,,,-1,2,,999,苹果嘉儿拥有着可靠、诚实又乐于帮人的美好品质，经常支持和保护着她的朋友们。她在甜苹果园中主要负责收获苹果，宠物狗狗薇诺纳是她的好伙伴。苹果嘉儿在和谐之元中代表“诚实”。,2,,,,,999,skin150,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上散发着小苹果！,,,,,,,,,,,,,dtxx_beijingtu11,,0,giflogo_70,,,icon_54,,180,,,,,,27032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,阿拉灯,140161,,286,3,140161_2,1,140161_3,140161_1,,,,,,,,,-1,2,,999,"“追寻库西亚曾经的踪迹，去集齐沙月星的至宝吧，阿拉灯……”
被神秘的魔法师利用，在充满陷阱的沙月遗迹中得到了无字魔导书《一千零一夜》。他决心反抗，于是孤身一人踏上了寻找沙月宝物的旅程。",2,,,,,999,skin151,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着神秘符号！,,,,,,,,,,,,,dtxx_beijingtu35,,0,,,,,,180,,,,,,27033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,匹诺曹,140146,,287,3,140146_2,1,140146_3,140146_1,,,,,,,,,-1,2,,999,“即使是木头，为了得到温暖，亦会投入火的怀抱。”,2,,,,,999,skin152,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下蝴蝶结脚印。,,,,,,,,,,,,,dtxx_beijingtu37,,0,,,,,,180,,,,,,27034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,塔莎,140147,,288,3,140147_2,1,140147_3,140147_1,,,,,,,,,-1,2,,999,“生命是上紧的发条，人们厌倦它的转动，却又怕它在最美好的时刻停止。”,2,,,,,999,skin153,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着闪光羽毛！,,,,,,,,,,,,,dtxx_beijingtu36,,0,,,,,,180,,,,,,27035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,殷小敏,140149,,289,3,140149_2,1,140149_3,140149_1,,,,,,,,,-1,2,,999,殷小敏、施巧灵和彩俐是亲密伙伴，一起对付黑咒魔王。殷小敏的嗅觉特别灵敏，成为魔仙后，常凭嗅觉侦测到敌人，帮了很多忙。虽然她说话温柔，容易哭，但实际外柔内刚，遇事很冷静。,2,,,,,999,skin154,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下星星脚印。,,,,,,,,,,,,,dtxx_beijingtu38,,0,,,,icon_59,,180,,,,,,27036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,施巧灵,140150,,290,3,140150_2,1,140150_3,140150_1,,,,,,,,,-1,2,,999,施巧灵、殷小敏和彩俐是亲密伙伴，一起对付黑咒魔王。施巧灵对色彩异常敏感，想法超越常人，常有意想不到的见解，是一个难得的绘画天才。话不多但非常善良，性格有些执着和倔强。,2,,,,,999,skin155,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着粉色光辉！,,,,,,,,,,,,,dtxx_beijingtu38,,0,,,,icon_59,,180,,,,,,27037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,彩俐公主,140151,,291,3,140152_2,1,140152_3,140152_1,,,,,,,,,-1,2,,999,彩俐是彩灵堡魔法王国的公主，她有着一头美丽的金发，扎着双马尾，头戴一顶皇冠。性格活泼开朗，爱说话爱冒险，天不怕地不怕，却又冲动易闯祸。不开心时会用魔法彩色来画画。,2,,,,,999,skin156,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着魔法能量！,,,,,,,,,,,,,dtxx_beijingtu38,,0,,,,icon_59,,180,,,,,,27038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,版本过低,140162,,292,3,140162_2,1,140162_3,140162_1,,,,,,,,,-1,2,,999,版本过低,2,,,,,999,skin157,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着白色羽毛！,,,,,,,,,,,,,dtxx_beijingtu38,,0,,,,icon_59,,180,,,,,100108,27039,Pskin167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,血族魔法师 洛特,140164,,293,3,140164_2,1,140164_3,140164_1,,,,,,,,,-1,2,,999,"一声呼哨，雪羽猫头鹰破空飞来，停在少年的肩。
皮肤雪白的少年取下信件，眨眨绿色的眼眸，侧头轻问，
“你见过，会魔法的吸血鬼吗？”",2,,,,,999,skin158,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着魔法星光！,,,,,,,,,,,,,,,0,,,,,,180,,,,,,27040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,瑶月仙子,140165,,294,3,140165_2,1,140165_3,140165_1,,,,,,,,,-1,2,,999,,2,,,,,999,skin159,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着花朵和白兔印记！,,,,,,,,,,,,,dtxx_beijingtu40,,0,,,,,,180,,,"30,1",33035,100108,27041,Pskin159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,玉团儿,140163,,295,3,140163_2,1,140163_3,140163_1,,,,,,,,,-1,2,,999,"莲蓉还是枣泥？奶黄还是抹茶？应有尽有！
小小月饼，圆圆身子，内有乾坤，包罗万象。
本小厨娘将散发无限创意，赋予中式点心情感灵魂，风靡整个宇宙！
而你，准备好接受这甜蜜的滋味了吗？",2,,,,,999,skin160,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着小蝴蝶！,,,,,,,,,,,,,dtxx_beijingtu39,,0,,,,,,180,,,,,,27042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,号手妮塔,140169,,296,3,140168_2,1,140168_3,140168_1,,,,,,,,,-1,2,,999,妮塔本是仙度瑞拉家花园里的瓷兔玩偶，目睹了仙杜瑞拉每晚因思念母亲而在园中努力练习魔法的情形，被魔法赋予生命。穿过丛林，拨开荆棘，她只为让魔法花园再度盛放。,2,,,,,999,skin161,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着音符！,,skill,#cda5b0a仅限筑梦礼盒产出#n,,,,,,,,,,,,0,,,,,,180,,,,,,27043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,鼓手尼普,140168,,297,3,140169_2,1,140169_3,140169_1,,,,,,,,,-1,2,,999,尼普和妹妹妮塔，是指挥家送给仙度瑞拉家花园的一对兔子陶瓷摆件，和妮塔想要留在花园不同，尼普暗暗觉得自己之于指挥家更重要，一心想要回到乐团中。,2,,,,,999,skin162,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着音符！,,skill,#cda5b0a仅限筑梦礼盒产出#n,,,,,,,,,,,,0,,,,,,180,,,,,,27044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,龙响无双,140166,,298,3,140166_2,1,140166_3,140166_1,,,,,,,,,-1,2,,999,,2,,,,,999,skin163,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下包子脚印。,,,,,,,,,,,,,dtxx_beijingtu43,,0,,,,,,180,,,"23,1",33038,100108,27045,Pskin163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,拾玖,140173,,299,3,140173_2,1,140173_3,140173_1,,,,,,,,,-1,2,,999,"哟咦咻~虽然长着小孩模样，但却是一等一的高手。
有万里师傅和哥哥们在，必杀技“翔龙”可不会轻易放送。
果然还是最喜欢和哥哥们玩游戏了！要是输了……就哭给你看！",2,,,,,999,skin164,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：头上飘散着能量粒子！,,,,,,,,,,,,,dtxx_beijingtu41,,0,,,,,,180,,,,,,27046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,糖心小熊,140170,,300,3,140170_2,1,140170_3,140170_1,,,,,,,,,-1,2,,999,软糖之柔，硬糖之刚，论传承，通通不在话下。 刚中带柔，软中包硬，论创新，糖心小熊最佳。 千言万语，小熊的心意最甜。  ,2,,,,,999,skin165,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方会掉落糖果还会留下小熊脚印。,,skill,#cda5b0a仅限筑梦礼盒产出#n,,,,,,,,,,dtxx_beijingtu42,,0,,,,,,180,,,,,,27047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,星月小梦,140172,,301,3,140172_2,1,140172_3,140172_1,,,,,,,,,-1,2,,999,"哈欠是我的招牌动作，人人都叫我“白日梦想家”。
太阳，星星，月亮，都在我软乎乎的枕头里。
戴好眼罩，即刻沉入梦乡。
无论白天黑夜，来和我一起做梦吧！",2,,,,,999,skin166,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着瞌睡泡泡！,,skill,#cda5b0a仅限筑梦礼盒产出#n,,,,,,,,,,,,0,,,,,,180,,,,,,27048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,星团公主 波莉,140176,,302,3,140176_2,1,140176_3,140176_1,,,,,,,,,-1,2,,999,"当生活的迷雾层层揭开，你是否敢靠近，那掩藏真相的虚掩之门？
她是号令团子的城堡“女王”，也是被囚在家的科技少女。
听到了吗？她的呐喊：
“所束缚我的，必将成为我的裙下败将！”",2,,,,,999,skin167,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下发光泡泡团子脚印。,,,,,,,,,,,,,dtxx_beijingtu44,,0,,,,,,180,,,,,,27049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,版本过低,140167,,303,3,140167_2,1,140167_3,140167_1,,,,,,,,,-1,2,,999,版本过低,2,,,,,999,skin168,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着粉色爱心！,,,,,,,,,,,,,,,0,,,,icon_59,,180,,,,,100108,27050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,魂羽歌者 莺初,140174,,304,3,140174_2,1,140174_3,140174_1,,,,,,,,,-1,2,,999,"“莺歌燕舞,便有系人心处。燕去莺来昏又晓, 薰风微度，天下瑞麟重睹。
她明白自己的宿命与信念。
因为那需要守护之物，是比黄金珠宝更珍贵的东西。",2,,,,,999,skin169,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着金色银杏叶！,2,acticon,#cda5b0a互动：可与空候触发互动动作！#n,,,,,,,,,,dtxx_beijingtu46,,0,,,,,,180,,,,,,27051,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,版本过低,140171,,305,3,140171_2,1,140171_3,140171_1,,,,,,,,,-1,2,,999,版本过低,2,,,,,999,skin170,180,60,60,220,120,120,,headicon,头像：解锁头像。,,,,,,,,,,,,,,,,,,0,,,,,,180,,,,,,27052,Pskin166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,弥梦帝君 空侯,140175,,306,3,140175_2,1,140175_3,140175_1,,,,,,,,,-1,2,,999,"被困于噩梦的帝君，苦苦寻找着弥留的辉煌。
直到，他听到那灵魂的鸣啭……
听到歌声了吗……？跟过来，活下去！",2,,,,,999,skin171,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着青色能量粒子！,2,acticon,#cda5b0a互动：可与莺初触发互动动作！#n,,,,,,,,,,dtxx_beijingtu46,,0,,,,,,180,,,,,,27053,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,倪羽儿,140183,,307,3,140183_2,1,140183_3,140183_1,,,,,,,,,-1,2,,999,"舞裙歌扇，霓裳羽衣，
喜欢我的扇子和衣服？
找本姑娘就对了！",2,,,,,999,skin172,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着绿色花朵！,,,,,,,,,,,,,,,0,,,,,,180,,,,,,27054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,谢知礼,140182,,308,3,140182_2,1,140182_3,140182_1,,,,,,,,,-1,2,,999,"人之初，性本善。性相近，习相远。 
要我说，打打杀杀什么的，一点儿也不酷。",2,,,,,999,skin173,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着汉字！,,,,,,,,,,,,,,,0,,,,,,180,,,,,,27055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,驱魔人 开斯特,140180,,309,3,140180_2,1,140180_3,140180_1,,,,,,,,,-1,2,,999,"手提马灯，肩停渡鸦，谁是黑夜守护者？
身赋驱散黑暗的能力，却只向往一场安稳的好觉。
假若来者不善，那就让他试试我的十字架吧！",2,,,,,999,skin174,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下黑色火焰。,,,,,,,,,,,,,dtxx_beijingtu45,,0,,,,,,180,,,,,,27056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,奥利维亚,140181,,310,3,140181_2,1,140181_3,140181_1,,,,,,,,,-1,2,,999,黑夜装点裙纱，无人争抢捧花。 不生不死，不枯不萎的永生花啊，你可否告诉我， 那个救我的人，是否养了只渡鸦？,2,,,,,999,skin175,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下玫瑰花。,,,,,,,,,,,,,dtxx_beijingtu45,,0,,,,,,180,,,,,,27057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,黑猫 幽娜,140179,,311,3,140179_2,1,140179_3,140179_1,,,,,,,,,-1,2,,999,,2,,,,,999,skin176,180,60,60,220,120,120,,headicon,头像：解锁头像。,,,,,,,,,,,,,,,,dtxx_beijingtu47,,0,,,,,,180,,,,,,27058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,蜘蛛王子 安德鲁,140178,,312,3,140178_2,1,140178_3,140178_1,,,,,,,,,-1,2,,999,,2,,,,,999,skin177,180,60,60,220,120,120,,headicon,头像：解锁头像。,,,,,,,,,,,,,,,,dtxx_beijingtu47,,0,,,,,,180,,,,,,27059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,极兽特工 沃夫·银,140184,,313,3,140184_2,1,140184_3,140184_1,,,,,,,,,-1,2,,999,沃夫·银出身白狼一族，天生敏捷、冷静，决断，是高曼达星特工组织——“极兽特攻”的一员。擅长使用的武器，是喵小糖帮忙改制的枪刃，在团队中担任中近距离战斗的冲锋手，平时藏在手套上的旋翼无人机可用来辅助攻击。,2,,,,,999,skin178,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下特工图标。,,,,,,,,,,,,,dtxx_beijingtu49,,0,,,,,,180,,,,,,27060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,灵公主,140189,,314,3,140189_2,1,140189_3,140189_1,,,,,,,,,-1,2,,999,本名花翎，人多称作灵公主。她是守护生命的女神，居住在美丽华丽的花海潮花圣殿，尊重生命，尊重灵魂。以爱之心守护世间生灵，不仅外表给人亲切感，内心也十分温柔。,2,,,,,999,skin179,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着花玲蝶！,,,,,,,,,,,,,dtxx_beijingtu48,,0,,,,icon_57,,180,,,,,,27061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,龙空空,140187,,315,3,140187_2,1,140187_3,140187_1,,,,,,,,,-1,2,,999,仙奉星的隐居龙族少女，但有一颗充满想象力和向往自由的心。机缘巧合下认识了小龙人麟休，结成了交换零食的友谊，从麟休那里获取了很多关于外界的知识，期待某天能派上用场。,2,,,,,999,skin180,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下骨头脚印。,,skill,#cda5b0a仅限筑梦礼盒产出#n,,,,,,,,,,,,0,,,,,,180,,,,,,27062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,火鸡专家 托克,140186,,316,3,140186_2,1,140186_3,140186_1,,,,,,,,,-1,2,,999,托克是食趣星的神秘大厨，一年中只在感恩节临近时，火鸡店才开门营业。而每次出现，必然会带着他的拿手招牌菜——烤火鸡。,2,,,,,999,skin181,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下火鸡脚印。,,skill,#cda5b0a仅限筑梦礼盒产出#n,,,,,,,,,,,,0,,,,,,180,,,,,,27063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,草莓酱 贝瑞,140185,,317,3,140185_2,1,140185_3,140185_1,,,,,,,,,-1,2,,999,贝瑞是食趣星最懂草莓的人。她享受着关于草莓的每个环节，从播种抽芽到开花结果，从田野采摘到送上餐桌，贝瑞都乐在其中。,2,,,,,999,skin182,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下草莓脚印。,,skill,#cda5b0a仅限筑梦礼盒产出#n,,,,,,,,,,,,0,,,,,,180,,,,,,27064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,泰国神象,140188,,318,3,140188_2,1,140188_3,140188_1,,,,,,,,,-1,2,,999,,2,,,,,999,skin183,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上散发着莲花。,,,,,,,,,,,,,,,0,,,,,,180,,,,,,27065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,电音天后 莎莎,140190,,319,3,140190_2,1,140190_3,140190_1,,,,,,,,,-1,2,,999,莎莎是特尔星当仁不让的最红歌手，但超人气的名头，也为她招致了大麻烦，莎莎的音乐生涯一度就此停滞。直到她偶然间认识了暗星，这个极具天赋的DJ激发了她的灵感，开始尝试电音创作，这让莎莎再次走向歌手生涯的巅峰……,2,,,,,999,skin184,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着彩色音符！,,,,,,,,,,,,,dtxx_beijingtu50,,0,,,,,,180,,,,,,27066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,仙踪守护者 悠妮,140191,,320,3,140191_2,1,140191_3,140191_1,,,,,,,,,-1,2,,999,童梦星的魔法森林中，生活着凤星域最后一群独角兽。在魔法日益稀缺的时代，独角兽也面临生存危机。悠妮作为族群中最年轻的存在，自告奋勇，踏上了用林中特产“魔法珍珠”，换取拯救仙踪魔力的坎坷之旅……,2,,,,,999,skin185,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下蝴蝶结脚印。,,,,,,,,,,,,,dtxx_beijingtu59,,0,,,,,,180,,,,,,27067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
